title,category_name,rating,price_gbp,price_inr,in_stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,23.89,2520.4,1
On a Midnight Clear,Add a comment,3,14.07,1484.38,1
The Art Forger,Add a comment,3,40.76,4300.18,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,53.9,5686.45,1
The Torch Is Passed: A Harding Family Story,Add a comment,1,19.09,2014.0,1
Wall and Piece,Art,4,44.18,4660.99,1
The Dirty Little Secrets of Getting Your Dream Job,Business,4,33.34,3517.37,1
Birdsong: A Story in Pictures,Childrens,3,54.64,5764.52,1
The Bear and the Piano,Childrens,1,36.89,3891.9,1
The Secret of Dreadwillow Carse,Childrens,1,56.13,5921.72,1
When We Collided,Contemporary,1,31.77,3351.74,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,20.59,2172.24,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.6,2384.3,1
Aladdin and His Wonderful Lamp,Default,3,53.13,5605.22,1
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.5,2373.75,1
Penny Maybe,Default,3,33.29,3512.1,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93,1891.62,1
Maude (1883-1993):She Grew Up with the country,Default,2,18.02,1901.11,1
Soul Reader,Default,2,39.58,4175.69,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99,1475.94,1
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,13.34,1407.37,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,25.02,2639.61,1
Unicorn Tracks,Fantasy,3,18.78,1981.29,1
Masks and Shadows,Fantasy,2,56.4,5950.2,1
Private Paris (Private #10),Fiction,5,47.61,5022.85,1
Thirst,Fiction,5,17.27,1821.98,1
"We Love You, Charlie Freeman",Fiction,5,50.27,5303.48,1
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11,5708.6,1
